"grid","sp","mean","sd","ncams","t","d"
"413",5,"PEMA",43.5833333333333,15.802907455844,24,15,9
"414",6,"PEMA",22.12,11.1142551107425,25,15,9
"415",7,"PEMA",34.52,13.4074606096755,25,15,9
"416",8,"PEMA",45.2,15.3432938662683,25,15,9
"417",1,"GLOR",4.90625,3.68057427368705,64,15,9
"418",2,"GLOR",3.2741935483871,4.36141560279292,62,15,9
"419",3,"GLOR",5.57142857142857,4.24155436251125,63,15,9
"420",4,"GLOR",4.171875,3.79872446219551,64,15,9
"421",5,"GLOR",3.87301587301587,4.36441646504881,63,15,9
"422",6,"GLOR",2.078125,3.04622945440571,64,15,9
"423",7,"GLOR",1.953125,2.73965405938037,64,15,9
"424",8,"GLOR",3.98387096774194,4.16264392449007,62,15,9
"425",1,"TATO",8.71875,4.85166883414259,64,15,9
"426",2,"TATO",17.5161290322581,6.00748695579619,62,15,9
"427",3,"TATO",11.5238095238095,5.89657402679354,63,15,9
"428",4,"TATO",6.34375,5.33695933286314,64,15,9
"429",5,"TATO",25.4126984126984,8.63532676900985,63,15,9
"430",6,"TATO",5.875,5.26895670526004,64,15,9
"431",7,"TATO",30.90625,8.61102790538398,64,15,9
"432",8,"TATO",21.5322580645161,6.76470527373571,62,15,9
"433",1,"PEMA",1.75,1.84744241541134,24,60,1
"434",2,"PEMA",1.72,1.51437555888007,25,60,1
"435",3,"PEMA",2.04166666666667,1.51741102931409,24,60,1
"436",4,"PEMA",1.92,1.552417469626,25,60,1
"437",5,"PEMA",3.04166666666667,1.68055805086252,24,60,1
"438",6,"PEMA",2.84,1.57268348161139,25,60,1
"439",7,"PEMA",2.72,1.72046505340853,25,60,1
"440",8,"PEMA",2.04,1.05987420637231,25,60,1
"441",1,"GLOR",1.109375,1.0707835359924,64,60,1
"442",2,"GLOR",0.903225806451613,1.18335002955079,62,60,1
"443",3,"GLOR",0.793650793650794,0.88278755999848,63,60,1
"444",4,"GLOR",0.625,1.07644329099593,64,60,1
"445",5,"GLOR",0.714285714285714,0.957627637051187,63,60,1
"446",6,"GLOR",0.359375,0.784111821876414,64,60,1
"447",7,"GLOR",0.40625,0.75,64,60,1
