"sp","param","est","model.x","t","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model.y","g"
"98","PEMA","psi[3]",0.856,"CAM-SC_noinfo_multigrid_t1440",1440,0.695,0.183,0.325,0.739,0.968,2.36,36,"CAM-SC_noinfo_multigrid",3
"99","PEMA","psi[4]",0.802,"CAM-SC_noinfo_multigrid_t1440",1440,0.658,0.173,0.319,0.698,0.91,1.92,45,"CAM-SC_noinfo_multigrid",4
"100","PEMA","psi[5]",0.868,"CAM-SC_noinfo_multigrid_t1440",1440,0.717,0.191,0.331,0.772,0.98,2.59,33,"CAM-SC_noinfo_multigrid",5
"101","PEMA","psi[6]",0.664,"CAM-SC_noinfo_multigrid_t1440",1440,0.558,0.146,0.264,0.6,0.776,2.15,63,"CAM-SC_noinfo_multigrid",6
"102","PEMA","psi[7]",0.727,"CAM-SC_noinfo_multigrid_t1440",1440,0.608,0.172,0.284,0.644,0.896,1.91,33,"CAM-SC_noinfo_multigrid",7
"103","PEMA","psi[8]",0.805,"CAM-SC_noinfo_multigrid_t1440",1440,0.678,0.178,0.327,0.722,0.943,2.33,36,"CAM-SC_noinfo_multigrid",8
"104","PEMA","sigma",38.594,"CAM-SC_noinfo_multigrid_t1440",1440,39.177,10.675,17.981,39.393,60.239,2.25,13,"CAM-SC_noinfo_multigrid",NA
"105","TATO","D[1]",5.384,"CAM-SC_noinfo_multigrid_t0",0,5.957,0.967,4.315,5.872,8.075,1.11,169,"CAM-SC_noinfo_multigrid",1
"106","TATO","D[2]",7.595,"CAM-SC_noinfo_multigrid_t0",0,8.094,1.212,6.008,7.993,10.769,1.33,112,"CAM-SC_noinfo_multigrid",2
"107","TATO","D[3]",7.51,"CAM-SC_noinfo_multigrid_t0",0,7.616,1.011,5.781,7.574,9.631,1.23,158,"CAM-SC_noinfo_multigrid",3
"108","TATO","D[4]",5.368,"CAM-SC_noinfo_multigrid_t0",0,5.69,0.916,4.069,5.635,7.583,1.17,154,"CAM-SC_noinfo_multigrid",4
"109","TATO","D[5]",12.975,"CAM-SC_noinfo_multigrid_t0",0,13.46,1.835,10.369,13.264,17.824,1.25,42,"CAM-SC_noinfo_multigrid",5
"110","TATO","D[6]",4.432,"CAM-SC_noinfo_multigrid_t0",0,4.757,0.796,3.341,4.716,6.445,1.13,201,"CAM-SC_noinfo_multigrid",6
"111","TATO","D[7]",18.197,"CAM-SC_noinfo_multigrid_t0",0,17.472,0.699,15.585,17.697,18.198,1.34,48,"CAM-SC_noinfo_multigrid",7
"112","TATO","D[8]",12.399,"CAM-SC_noinfo_multigrid_t0",0,13.399,1.685,10.578,13.227,17.105,1.43,51,"CAM-SC_noinfo_multigrid",8
"113","TATO","lam0",4.595,"CAM-SC_noinfo_multigrid_t0",0,4.569,0.278,4.026,4.607,4.952,1.13,75,"CAM-SC_noinfo_multigrid",NA
"114","TATO","N[1]",591.469,"CAM-SC_noinfo_multigrid_t0",0,654.332,106.248,474,645,887,1.11,169,"CAM-SC_noinfo_multigrid",1
"115","TATO","N[2]",834.342,"CAM-SC_noinfo_multigrid_t0",0,889.098,133.137,660,878,1183,1.33,112,"CAM-SC_noinfo_multigrid",2
"116","TATO","N[3]",824.971,"CAM-SC_noinfo_multigrid_t0",0,836.577,111.075,635,832,1058,1.23,158,"CAM-SC_noinfo_multigrid",3
"117","TATO","N[4]",589.645,"CAM-SC_noinfo_multigrid_t0",0,624.995,100.628,447,619,833,1.17,154,"CAM-SC_noinfo_multigrid",4
"118","TATO","N[5]",1425.268,"CAM-SC_noinfo_multigrid_t0",0,1478.621,201.569,1139,1457,1958,1.25,42,"CAM-SC_noinfo_multigrid",5
"119","TATO","N[6]",486.852,"CAM-SC_noinfo_multigrid_t0",0,522.539,87.452,367,518,708,1.13,201,"CAM-SC_noinfo_multigrid",6
"120","TATO","N[7]",1998.979,"CAM-SC_noinfo_multigrid_t0",0,1919.266,76.8,1712,1944,1999,1.34,48,"CAM-SC_noinfo_multigrid",7
"121","TATO","N[8]",1362.039,"CAM-SC_noinfo_multigrid_t0",0,1471.906,185.055,1162,1453,1879,1.43,51,"CAM-SC_noinfo_multigrid",8
"122","TATO","psi[1]",0.291,"CAM-SC_noinfo_multigrid_t0",0,0.327,0.054,0.234,0.323,0.446,1.1,152,"CAM-SC_noinfo_multigrid",1
