"sp","g","t","m","a","sa","N","SE","LCI","UCI","model"
"FLYING SQUIRREL",3,15,87.22,9.59931088596881,78400,34.6088800265711,7.21558893110027,23.0994754566281,51.8528907265688,"ste"
"FLYING SQUIRREL",3,30,87.22,9.59931088596881,78400,57.5552003768105,9.73115364434,41.4169214802061,79.9818280071336,"ste"
"FLYING SQUIRREL",3,60,87.22,9.59931088596881,78400,93.8007745888483,13.8271117107672,70.3724678788725,125.028801442808,"ste"
"FLYING SQUIRREL",3,1440,87.22,9.59931088596881,78400,47.5472347369822,4.32247516773836,39.8016492151355,56.8001471223959,"tte"
"FLYING SQUIRREL",4,1,87.22,9.59931088596881,78400,3.8551491827779,2.22675104799203,1.34681427546176,11.0350591705583,"ste"
"FLYING SQUIRREL",4,5,87.22,9.59931088596881,78400,11.6537707714778,3.88348896758467,6.169384108342,22.0136031099947,"ste"
"FLYING SQUIRREL",4,15,87.22,9.59931088596881,78400,27.7266129274498,6.36132360252085,17.7869330117895,43.2207769557053,"ste"
"FLYING SQUIRREL",4,30,87.22,9.59931088596881,78400,40.8350376768874,8.00929889650139,27.9029478251066,59.7607217891305,"ste"
"FLYING SQUIRREL",4,60,87.22,9.59931088596881,78400,50.2108611744598,9.1716918067421,35.2034654134263,71.6159772986253,"ste"
"FLYING SQUIRREL",4,1440,87.22,9.59931088596881,78400,45.1935528043659,5.11716134378885,36.2244600357084,56.3833722591764,"tte"
"FLYING SQUIRREL",5,1,87.22,9.59931088596881,78400,NA,NA,NA,NA,"ste"
"FLYING SQUIRREL",5,5,87.22,9.59931088596881,78400,9.42770200401186,3.56249165053045,4.60705653742708,19.2924841174377,"ste"
"FLYING SQUIRREL",5,15,87.22,9.59931088596881,78400,30.9974389927939,6.76487461198428,20.3101456840019,47.3084358458749,"ste"
"FLYING SQUIRREL",5,30,87.22,9.59931088596881,78400,45.4581214234535,8.42222453090848,31.7125792082306,65.1615496103556,"ste"
"FLYING SQUIRREL",5,60,87.22,9.59931088596881,78400,67.9793981593452,10.8884111048866,49.7620756700659,92.8658724918633,"ste"
