"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"lam0",11.557,4.458,6.95,10.371,25.337,1.62,42,"CAM-SC_info_separate",4,"PEMA",0,8.779
"N",1342.149,392.802,596,1423,1880,2.13,21,"CAM-SC_info_separate",4,"PEMA",0,1748.101
"psi",0.671,0.196,0.298,0.711,0.94,2.13,21,"CAM-SC_info_separate",4,"PEMA",0,0.877
"sigma",3.351,0.516,2.482,3.286,4.537,1.97,27,"CAM-SC_info_separate",4,"PEMA",0,3.293
"D",75.34,52.664,18.335,49.831,178.178,5.38,55,"CAM-SC_info_separate",5,"PEMA",0,38.084
"lam0",46.915,19.386,17.199,52.977,82.231,4.44,24,"CAM-SC_info_separate",5,"PEMA",0,59.529
"N",669.775,468.187,163,443,1584,5.38,55,"CAM-SC_info_separate",5,"PEMA",0,338.567
"psi",0.335,0.234,0.082,0.221,0.792,5.38,58,"CAM-SC_info_separate",5,"PEMA",0,0.177
"sigma",4.525,0.928,2.956,4.659,6.042,5.61,16,"CAM-SC_info_separate",5,"PEMA",0,5.465
"D",166.088,36.115,91.001,174.128,219.123,2.29,27,"CAM-SC_info_separate",6,"PEMA",0,193.165
"lam0",10.218,2.65,5.947,9.912,16.199,1.32,39,"CAM-SC_info_separate",6,"PEMA",0,10.291
"N",1476.522,321.065,809,1548,1948,2.29,27,"CAM-SC_info_separate",6,"PEMA",0,1717.237
"psi",0.738,0.161,0.405,0.774,0.974,2.29,28,"CAM-SC_info_separate",6,"PEMA",0,0.874
"sigma",2.841,0.424,2.247,2.759,3.942,2.5,29,"CAM-SC_info_separate",6,"PEMA",0,2.505
"D",186.721,29.063,124.297,190.101,223.847,1.36,23,"CAM-SC_info_separate",7,"PEMA",0,223.045
"lam0",14.214,3.198,7.311,14.41,19.801,1.13,40,"CAM-SC_info_separate",7,"PEMA",0,15.913
"N",1659.947,258.368,1105,1690,1990,1.36,23,"CAM-SC_info_separate",7,"PEMA",0,1982.869
"psi",0.83,0.129,0.553,0.845,0.995,1.36,24,"CAM-SC_info_separate",7,"PEMA",0,0.99
